definition.id,asset.display_ipv4_address,asset.id,asset.name,asset.operating_system,asset.tags,definition.cve,definition.cvss2.base_score,definition.cvss2.base_vector,definition.cvss2.temporal_score,definition.cvss2.temporal_vector,definition.cvss3.base_score,definition.cvss3.base_vector,definition.cvss3.temporal_score,definition.cvss3.temporal_vector,definition.description,definition.exploitability_ease,definition.exploited_by_malware,definition.exploited_by_nessus,definition.family,definition.in_the_news,definition.name,definition.patch_published,definition.plugin_version,definition.see_also,definition.solution,definition.unsupported_by_vendor,definition.vpr.drivers_cvss3_impact_score,definition.vpr.drivers_exploit_code_maturity,definition.vpr.drivers_threat_intensity,definition.vpr.drivers_threat_recency_high,definition.vpr.drivers_threat_recency_low,definition.vpr.drivers_threat_sources,definition.vpr.score,definition.vulnerability_published,first_observed,id,last_seen,output,risk_modified,severity,state,new_definition_id
104743,20.323.22.225,93af57a0-9039-4d05-9c93-abf7a9de7e00,40.88885.73.3883,Microsoft Windows 10,"[{""category"":""ACR"",""value"":""Medium""},{""category"":""CUS"",""value"":""DST""},{""category"":""OS"",""value"":""WinWKS-Sup""},{""category"":""DMZ"",""value"":""DMZ-10.323.11.x""},{""category"":""Type"",""value"":""DMZ""},{""category"":""OS"",""value"":""Win10""}]",,6.1,AV:N/AC:H/Au:N/C:C/I:P/A:N,,,6.5,AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:L/A:N,,,"The remote service accepts connections encrypted using TLS 1.0. TLS 1.0 has a number of cryptographic design flaws. Modern implementations of TLS 1.0 mitigate these problems, but newer versions of TLS like 1.2 and 1.3 are designed against these flaws and should be used whenever possible.

As of March 31, 2020, Endpoints that aren’t enabled for TLS 1.2 and higher will no longer function properly with major web browsers and major vendors.

PCI DSS v3.2 requires that TLS 1.0 be disabled entirely by June 30, 2018, except for POS POI terminals (and the SSL/TLS termination points to which they connect) that can be verified as not being susceptible to any known exploits.",,False,False,Service detection,False,TLS Version 1.0 Protocol Detection,,1.1,https://tools.ietf.org/html/draft-ietf-tls-oldversions-deprecate-00,"Enable support for TLS 1.2 and 1.3, and disable support for TLS 1.0.",False,,,,,,,,,2024-01-22T03:53:11.075Z,11c15a81-2c85-4a0c-a0b3-9c070b5bab96,2024-01-22T03:53:11.075Z,TLSv1 is enabled and the server supports at least one cipher.,NONE,Medium,NEW,104743
57582,20.323.22.225,93af57a0-9039-4d05-9c93-abf7a9de7e00,40.88885.73.8830,Microsoft Windows 10,"[{""category"":""ACR"",""value"":""Medium""},{""category"":""CUS"",""value"":""DST""},{""category"":""OS"",""value"":""WinWKS-Sup""},{""category"":""DMZ"",""value"":""DMZ-10.323.11.x""},{""category"":""Type"",""value"":""DMZ""},{""category"":""OS"",""value"":""Win10""}]",,6.4,AV:N/AC:L/Au:N/C:P/I:P/A:N,,,6.5,AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N,,,"The X.509 certificate chain for this service is not signed by a recognized certificate authority.  If the remote host is a public host in production, this nullifies the use of SSL as anyone could establish a man-in-the-middle attack against the remote host. 

Note that this plugin does not check for certificate chains that end in a certificate that is not self-signed, but is signed by an unrecognized certificate authority.",,False,False,General,False,SSL Self-Signed Certificate,,1.6,,Purchase or generate a proper SSL certificate for this service.,False,,,,,,,,,2024-01-22T03:53:11.075Z,2b642335-29b6-45e7-8f25-0dd439da3b78,2024-01-22T03:53:11.075Z,"'
The following certificate was found at the top of the certificate
chain sent by the remote host, but is self-signed and was not
found in the list of known certificate authorities :

|-Subject : CN=MVDCVM01HRD001
",NONE,Medium,NEW,57582
42873,36.38.22.20,90a793d4-b4ed-4904-abcf-9f02b6976447,40.88886.88588.8845,Microsoft Windows 10,"[{""category"":""ACR"",""value"":""High""},{""category"":""OS"",""value"":""WinWKS-Sup""},{""category"":""Type"",""value"":""EXT""},{""category"":""CUS"",""value"":""DST""},{""category"":""OS"",""value"":""Win10""}]",CVE-2016-2183,5.0,AV:N/AC:L/Au:N/C:P/I:N/A:N,,,7.5,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,,,"The remote host supports the use of SSL ciphers that offer medium strength encryption. Nessus regards medium strength as any encryption that uses key lengths at least 64 bits and less than 112 bits, or else that uses the 3DES encryption suite.

Note that it is considerably easier to circumvent medium strength encryption if the attacker is on the same physical network.",,False,False,General,True,SSL Medium Strength Cipher Suites Supported (SWEET32),,1.21,"https://www.openssl.org/blog/blog/2016/08/24/sweet32/, https://sweet32.info",Reconfigure the affected application if possible to avoid use of medium strength ciphers.,False,3.6,PROOF_OF_CONCEPT,VERY_LOW,,,No recorded events,6.1,2016-08-24 00:00:00+00:00,2023-02-07T04:05:24.651Z,05938d08-9f17-4f06-85b3-d157adb1a069,2024-01-22T05:25:17.293Z,"'
  Medium Strength Ciphers (> 64-bit and < 112-bit key, or 3DES)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    DES-CBC3-SHA                  0x00, 0x0A       RSA           RSA      3DES-CBC(168)          SHA1

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
",NONE,High,RESURFACED,42873
97861,43.52.4.226,977c8eed-99da-4608-8dc9-674d755c99e9,48833047e.cst.LPP.net,,"[{""category"":""ACR"",""value"":""High""},{""category"":""Type"",""value"":""EXT""},{""category"":""OS"",""value"":""UNK""}]",,5.0,AV:N/AC:L/Au:N/C:N/I:N/A:P,,,5.8,AV:N/AC:L/PR:N/UI:N/S:C/C:N/I:N/A:L,,,"The remote NTP server responds to mode 6 queries. Devices that respond to these queries have the potential to be used in NTP amplification attacks. An unauthenticated, remote attacker could potentially exploit this, via a specially crafted mode 6 query, to cause a reflected denial of service condition.",,False,False,Misc.,False,Network Time Protocol (NTP) Mode 6 Scanner,,1.2,https://ntpscan.shadowserver.org,Restrict NTP mode 6 queries.,False,,,,,,,,,2023-05-01T04:07:14.624Z,144d17fa-ca7c-4768-8c6f-90ff1ff7c622,2024-01-15T04:59:34.324Z,,NONE,Medium,FIXED,97861
157288,40.226.252.365,0e695333-52e4-4536-a872-029669a2ba04,0000088.ABC.oxg,Ubuntu 16.04 Linux Kernel 4.4,"[{""category"":""ACR"",""value"":""High""},{""category"":""OS"",""value"":""LNX""},{""category"":""Type"",""value"":""EXT""}]",,6.1,AV:N/AC:H/Au:N/C:C/I:P/A:N,,,6.5,AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:L/A:N,,,"The remote service accepts connections encrypted using TLS 1.1. TLS 1.1 lacks support for current and recommended cipher suites. Ciphers that support encryption before MAC computation, and authenticated encryption modes such as GCM cannot be used with TLS 1.1

As of March 31, 2020, Endpoints that are not enabled for TLS 1.2 and higher will no longer function properly with major web browsers and major vendors.",,False,False,Service detection,False,TLS Version 1.1 Protocol Deprecated,,1.3,"https://datatracker.ietf.org/doc/html/rfc8996, http://www.nessus.org/u?c8ae820d","Enable support for TLS 1.2 and/or 1.3, and disable support for TLS 1.1.",False,,,,,,,,,2023-02-26T06:31:29.089Z,37cea30c-34f5-4a72-b29a-cd7e4e27d75f,2023-11-13T05:11:42.387Z,,NONE,Medium,FIXED,157288
51192,20.323.2.362,ede8cac9-e0b4-49da-9f3f-a2ec55f6203f,avbapc088onc006,Microsoft Windows Server 2012 R2,"[{""category"":""ACR"",""value"":""Medium""},{""category"":""OS"",""value"":""WinSrv-sup""},{""category"":""OS"",""value"":""SRV""},{""category"":""OS"",""value"":""W2012""},{""category"":""Type"",""value"":""DMZ""},{""category"":""DMZ"",""value"":""DMZ-10.323.1.x""}]",,6.4,AV:N/AC:L/Au:N/C:P/I:P/A:N,,,6.5,AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N,,,"The server's X.509 certificate cannot be trusted. This situation can occur in three different ways, in which the chain of trust can be broken, as stated below :

  - First, the top of the certificate chain sent by the     server might not be descended from a known public     certificate authority. This can occur either when the     top of the chain is an unrecognized, self-signed     certificate, or when intermediate certificates are     missing that would connect the top of the certificate     chain to a known public certificate authority.

  - Second, the certificate chain may contain a certificate     that is not valid at the time of the scan. This can     occur either when the scan occurs before one of the     certificate's 'notBefore' dates, or after one of the     certificate's 'notAfter' dates.

  - Third, the certificate chain may contain a signature     that either didn't match the certificate's information     or could not be verified. Bad signatures can be fixed by     getting the certificate with the bad signature to be     re-signed by its issuer. Signatures that could not be     verified are the result of the certificate's issuer     using a signing algorithm that Nessus either does not     support or does not recognize.

If the remote host is a public host in production, any break in the chain makes it more difficult for users to verify the authenticity and identity of the web server. This could make it easier to carry out man-in-the-middle attacks against the remote host.",,False,False,General,False,SSL Certificate Cannot Be Trusted,,1.19,"https://www.itu.int/rec/T-REC-X.509/en, https://en.wikipedia.org/wiki/X.509",Purchase or generate a proper SSL certificate for this service.,False,,,,,,,,,2022-03-21T22:18:42.277Z,0f40992c-1237-46e9-87d1-ff72735e3b74,2023-11-27T03:13:04.718Z,,NONE,Medium,FIXED,51192
42880,20.323.2.362,ede8cac9-e0b4-49da-9f3f-a2ec55f6203f,avbapc088onc008,Microsoft Windows Server 2012 R2,"[{""category"":""ACR"",""value"":""Medium""},{""category"":""OS"",""value"":""WinSrv-sup""},{""category"":""OS"",""value"":""SRV""},{""category"":""OS"",""value"":""W2012""},{""category"":""Type"",""value"":""DMZ""},{""category"":""DMZ"",""value"":""DMZ-10.323.1.x""}]",CVE-2009-3555,5.8,AV:N/AC:M/Au:N/C:N/I:P/A:P,4.5,E:POC/RL:OF/RC:C,,,,,"The remote service encrypts traffic using TLS / SSL but allows a client to insecurely renegotiate the connection after the initial handshake.
An unauthenticated, remote attacker may be able to leverage this issue to inject an arbitrary amount of plaintext into the beginning of the application protocol stream, which could facilitate man-in-the-middle attacks if the service assumes that the sessions before and after renegotiation are from the same 'client' and merges them at the application layer.",AVAILABLE,False,False,General,False,SSL / TLS Renegotiation Handshakes MiTM Plaintext Data Injection,2009-11-05 00:00:00+00:00,1.48,"http://www.ietf.org/mail-archive/web/tls/current/msg03948.html, http://www.g-sec.lu/practicaltls.pdf, https://tools.ietf.org/html/rfc5746",Contact the vendor for specific patch information.,False,5.2,PROOF_OF_CONCEPT,VERY_LOW,,,No recorded events,6.7,2009-11-04 00:00:00+00:00,2022-03-21T22:18:42.277Z,100bc00b-b1d7-4309-a188-6d243dc572fa,2023-11-27T03:13:04.718Z,,NONE,Medium,FIXED,42880
15901,20.323.2.362,ede8cac9-e0b4-49da-9f3f-a2ec55f6203f,avbapc088onc0088,Microsoft Windows Server 2012 R2,"[{""category"":""ACR"",""value"":""Medium""},{""category"":""OS"",""value"":""WinSrv-sup""},{""category"":""OS"",""value"":""SRV""},{""category"":""OS"",""value"":""W2012""},{""category"":""Type"",""value"":""DMZ""},{""category"":""DMZ"",""value"":""DMZ-10.323.1.x""}]",,5.0,AV:N/AC:L/Au:N/C:N/I:P/A:N,,,5.3,AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,,,This plugin checks expiry dates of certificates associated with SSL- enabled services on the target and reports whether any have already expired.,,False,False,General,False,SSL Certificate Expiry,,1.5,,Purchase or generate a new SSL certificate to replace the existing one.,False,,,,,,,,,2022-03-21T22:18:42.277Z,1b0d0644-cefa-4061-8a47-0da4ee73162d,2023-11-27T03:13:04.718Z,,NONE,Medium,FIXED,15901
124410,20.323.2.362,ede8cac9-e0b4-49da-9f3f-a2ec55f6203f,avbapc088onc0088,Microsoft Windows Server 2012 R2,"[{""category"":""ACR"",""value"":""Medium""},{""category"":""OS"",""value"":""WinSrv-sup""},{""category"":""OS"",""value"":""SRV""},{""category"":""OS"",""value"":""W2012""},{""category"":""Type"",""value"":""DMZ""},{""category"":""DMZ"",""value"":""DMZ-10.323.1.x""}]",,6.4,AV:N/AC:L/Au:N/C:P/I:P/A:N,,,6.5,AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N,,,The remote service uses an SSL certificate chain that contains a root Certification Authority certificate at the top of the chain that is issued from a distrusted Certification Authority.,,False,False,General,False,SSL Root Certification Authority Distrusted,,1.1,https://technet.microsoft.com/en-us/library/cc778623,New intermediate certificates and subject certificates must be created with a trusted root Certification Authority.,False,,,,,,,,,2022-03-21T22:18:42.277Z,2866d597-9990-4a4c-b80d-570512d2ad83,2023-11-27T03:13:04.718Z,,NONE,Medium,FIXED,124410
65821,20.323.2.362,ede8cac9-e0b4-49da-9f3f-a2ec55f6203f,avbapc088onc009,Microsoft Windows Server 2012 R2,"[{""category"":""ACR"",""value"":""Medium""},{""category"":""OS"",""value"":""WinSrv-sup""},{""category"":""OS"",""value"":""SRV""},{""category"":""OS"",""value"":""W2012""},{""category"":""Type"",""value"":""DMZ""},{""category"":""DMZ"",""value"":""DMZ-10.323.1.x""}]","CVE-2013-2566, CVE-2015-2808",4.3,AV:N/AC:M/Au:N/C:P/I:N/A:N,3.7,E:U/RL:ND/RC:C,5.9,AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N,5.4,E:U/RL:X/RC:C,"The remote host supports the use of RC4 in one or more cipher suites.
The RC4 cipher is flawed in its generation of a pseudo-random stream of bytes so that a wide variety of small biases are introduced into the stream, decreasing its randomness.

If plaintext is repeatedly encrypted (e.g., HTTP cookies), and an attacker is able to obtain many (i.e., tens of millions) ciphertexts, the attacker may be able to derive the plaintext.",NOT_AVAILABLE,False,False,General,True,SSL RC4 Cipher Suites Supported (Bar Mitzvah),,1.21,"https://www.rc4nomore.com/, http://www.nessus.org/u?ac7327a0, http://cr.yp.to/talks/2013.03.12/slides.pdf, http://www.isg.rhul.ac.uk/tls/, https://www.imperva.com/docs/HII_Attacking_SSL_when_using_RC4.pdf","Reconfigure the affected application, if possible, to avoid use of RC4 ciphers. Consider using TLS 1.2 with AES-GCM suites subject to browser and web server support.",False,3.6,UNPROVEN,VERY_LOW,,,No recorded events,3.6,2013-03-12 00:00:00+00:00,2022-03-21T22:18:42.277Z,34a3ddd2-d415-4263-9724-4756804db11e,2023-11-27T03:13:04.718Z,,NONE,Medium,FIXED,65821
